episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
314,500,0.0,1.4,0.0028,1.5,-0.1
315,500,0.0,3.3,0.0066,1.725,1.575
316,500,0.0,-0.75,-0.0015,-2.85,2.1
317,500,0.0,0.4,0.0008,-2.2,2.6
318,500,0.0,5.425,0.01085,2.625,2.8
319,500,0.0,-1.1,-0.0022,-3.2,2.1
320,500,0.0,-1.4,-0.0028,-2.5,1.1
321,500,0.0,-0.4,-0.0008,-2.35,1.95
322,500,0.0,3.025,0.00605,2.775,0.25
323,500,0.0,-2.1,-0.0042,-0.025,-2.075
324,500,0.0,-3.95,-0.0079,-2.375,-1.575
325,500,0.0,0.65,0.0013,-1.85,2.5
326,500,0.0,4.275,0.00855,1.875,2.4
327,500,0.0,2.575,0.00515,1.25,1.325
328,500,0.0,0.125,0.00025,-1.775,1.9
329,500,0.0,0.05,0.0001,-2.3,2.35
330,500,0.0,-2.575,-0.00515,-2.35,-0.225
331,500,0.0,0.125,0.00025,-0.15,0.275
332,500,0.0,5.1,0.0102,2.55,2.55
333,500,0.0,4.525,0.00905,3.05,1.475
334,500,0.0,0.625,0.00125,2.575,-1.95
335,500,0.0,-4.025,-0.00805,2.825,-6.85
336,500,0.0,6.425,0.01285,2.8,3.625
337,500,0.0,4.45,0.0089,2.1,2.35
338,500,0.0,-0.85,-0.0017,0.625,-1.475
339,500,0.0,4.425,0.00885,2.3,2.125
340,500,0.0,-0.85,-0.0017,-3.45,2.6
341,500,0.0,2.8,0.0056,1.175,1.625
342,500,0.0,-5.05,-0.0101,-1.775,-3.275
343,500,0.0,-2.65,-0.0053,-0.8,-1.85
344,500,0.0,4.7,0.0094,2.35,2.35
345,500,0.0,3.275,0.00655,0.975,2.3
346,500,0.0,1.15,0.0023,-1.125,2.275
347,500,0.0,4.725,0.00945,2.25,2.475
348,500,0.0,-2.05,-0.0041,0.95,-3.0
349,500,0.0,4.5,0.009,1.675,2.825
350,500,0.0,-0.15,-0.0003,-1.6,1.45
351,500,0.0,1.125,0.00225,-1.65,2.775
352,500,0.0,0.525,0.00105,2.475,-1.95
353,500,0.0,1.2,0.0024,2.775,-1.575
354,500,0.0,3.4,0.0068,5.05,-1.65
355,500,0.0,2.3,0.0046,0.625,1.675
356,500,0.0,0.9,0.0018,-1.225,2.125
357,500,0.0,2.7,0.0054,2.4,0.3
358,500,0.0,2.15,0.0043,-0.375,2.525
359,500,0.0,-1.625,-0.00325,-4.35,2.725
360,500,0.0,4.375,0.00875,1.65,2.725
361,500,0.0,0.3,0.0006,-1.925,2.225
362,500,0.0,5.7,0.0114,2.975,2.725
363,500,0.0,-0.125,-0.00025,-2.475,2.35
364,500,0.0,4.525,0.00905,2.225,2.3
365,500,0.0,-8.0,-0.016,-1.625,-6.375
366,500,0.0,-120.95,-0.2419,-2.4,-118.55
367,500,0.0,4.375,0.00875,2.975,1.4
368,500,0.0,-0.4,-0.0008,1.975,-2.375
369,500,0.0,0.625,0.00125,2.75,-2.125
370,500,0.0,1.275,0.00255,2.65,-1.375
371,500,0.0,-2.1,-0.0042,2.5,-4.6
372,500,0.0,0.3,0.0006,2.125,-1.825
373,500,0.0,4.675,0.00935,2.625,2.05
374,500,0.0,-4.5,-0.009,-4.9,0.4
375,500,0.0,-1.3,-0.0026,0.575,-1.875
376,500,0.0,1.85,0.0037,2.0,-0.15
377,500,0.0,1.8,0.0036,-0.9,2.7
378,500,0.0,0.85,0.0017,2.775,-1.925
379,500,0.0,3.475,0.00695,2.875,0.6
380,500,0.0,4.125,0.00825,-0.95,5.075
381,500,0.0,2.525,0.00505,2.375,0.15
382,500,0.0,4.175,0.00835,1.85,2.325
383,500,0.0,5.85,0.0117,2.9,2.95
384,500,0.0,1.35,0.0027,2.475,-1.125
385,500,0.0,4.875,0.00975,2.775,2.1
386,500,0.0,1.35,0.0027,-1.1,2.45
387,500,0.0,0.8,0.0016,2.625,-1.825
388,500,0.0,5.15,0.0103,2.425,2.725
389,500,0.0,-4.075,-0.00815,-2.025,-2.05
390,500,0.0,-0.5,-0.001,2.075,-2.575
391,500,0.0,2.3,0.0046,1.675,0.625
392,500,0.0,0.5,0.001,2.1,-1.6
393,500,0.0,5.625,0.01125,3.075,2.55
394,500,0.0,3.3,0.0066,2.2,1.1
395,500,0.0,2.275,0.00455,0.125,2.15
396,500,0.0,4.475,0.00895,2.375,2.1
397,500,0.0,-2.375,-0.00475,0.425,-2.8
398,500,0.0,3.875,0.00775,1.525,2.35
399,500,0.0,-3.525,-0.00705,-2.15,-1.375
400,500,0.0,3.9,0.0078,2.9,1.0
401,500,0.0,-0.6,-0.0012,-1.95,1.35
402,500,0.0,2.425,0.00485,1.475,0.95
403,500,0.0,3.275,0.00655,2.325,0.95
404,500,0.0,2.95,0.0059,0.45,2.5
405,500,0.0,0.375,0.00075,-1.725,2.1
406,500,0.0,1.525,0.00305,0.775,0.75
407,500,0.0,3.725,0.00745,2.45,1.275
408,500,0.0,2.2,0.0044,1.025,1.175
409,500,0.0,1.85,0.0037,0.775,1.075
