Episode: 20900/3000000 | Reward: -4.95 | Epsilon: 0.99 | Deliveries: 0 | Time: 13730.9s
Episode: 21000/3000000 | Reward: -5.25 | Epsilon: 0.99 | Deliveries: 0 | Time: 13794.3s
Episode: 21100/3000000 | Reward: -4.75 | Epsilon: 0.99 | Deliveries: 0 | Time: 13858.5s
Episode: 21200/3000000 | Reward: -5.13 | Epsilon: 0.99 | Deliveries: 0 | Time: 13927.7s
Episode: 21300/3000000 | Reward: -4.83 | Epsilon: 0.99 | Deliveries: 0 | Time: 13992.8s
Episode: 21400/3000000 | Reward: -4.77 | Epsilon: 0.99 | Deliveries: 0 | Time: 14060.5s
Episode: 21500/3000000 | Reward: -5.36 | Epsilon: 0.99 | Deliveries: 0 | Time: 14124.5s
Episode: 21600/3000000 | Reward: -4.62 | Epsilon: 0.99 | Deliveries: 0 | Time: 14189.3s
Episode: 21700/3000000 | Reward: -8.31 | Epsilon: 0.99 | Deliveries: 0 | Time: 14252.8s
Episode: 21800/3000000 | Reward: -4.60 | Epsilon: 0.99 | Deliveries: 0 | Time: 14317.1s
Episode: 21900/3000000 | Reward: -4.75 | Epsilon: 0.99 | Deliveries: 0 | Time: 14382.5s
Episode: 22000/3000000 | Reward: -12.34 | Epsilon: 0.99 | Deliveries: 0 | Time: 14447.6s
Episode: 22100/3000000 | Reward: -4.51 | Epsilon: 0.99 | Deliveries: 0 | Time: 14511.6s
Episode: 22200/3000000 | Reward: -6.07 | Epsilon: 0.99 | Deliveries: 0 | Time: 14575.1s
Episode: 22300/3000000 | Reward: -5.64 | Epsilon: 0.99 | Deliveries: 0 | Time: 14639.4s
Episode: 22400/3000000 | Reward: -5.17 | Epsilon: 0.99 | Deliveries: 0 | Time: 14703.1s
Episode: 22500/3000000 | Reward: -5.10 | Epsilon: 0.99 | Deliveries: 0 | Time: 14770.4s
Episode: 22600/3000000 | Reward: -8.24 | Epsilon: 0.99 | Deliveries: 1 | Time: 14833.8s
Episode: 22700/3000000 | Reward: -4.55 | Epsilon: 0.99 | Deliveries: 0 | Time: 14899.1s
Episode: 22800/3000000 | Reward: -4.77 | Epsilon: 0.99 | Deliveries: 0 | Time: 14962.4s
Episode: 22900/3000000 | Reward: -11.28 | Epsilon: 0.99 | Deliveries: 0 | Time: 15027.1s
Episode: 23000/3000000 | Reward: -8.13 | Epsilon: 0.99 | Deliveries: 0 | Time: 15093.9s
Episode: 23100/3000000 | Reward: -8.12 | Epsilon: 0.99 | Deliveries: 0 | Time: 15157.5s
Episode: 23200/3000000 | Reward: -4.58 | Epsilon: 0.99 | Deliveries: 0 | Time: 15222.5s
Episode: 23300/3000000 | Reward: -4.80 | Epsilon: 0.99 | Deliveries: 0 | Time: 15287.0s
Episode: 23400/3000000 | Reward: -5.67 | Epsilon: 0.99 | Deliveries: 0 | Time: 15351.1s
Episode: 23500/3000000 | Reward: -8.57 | Epsilon: 0.99 | Deliveries: 0 | Time: 15416.8s
Episode: 23600/3000000 | Reward: -4.97 | Epsilon: 0.99 | Deliveries: 0 | Time: 15481.3s
Episode: 23700/3000000 | Reward: -4.93 | Epsilon: 0.99 | Deliveries: 0 | Time: 15545.3s
Episode: 23800/3000000 | Reward: -7.59 | Epsilon: 0.99 | Deliveries: 0 | Time: 15609.5s
Episode: 23900/3000000 | Reward: -7.96 | Epsilon: 0.99 | Deliveries: 0 | Time: 15673.5s
Episode: 24000/3000000 | Reward: -6.25 | Epsilon: 0.99 | Deliveries: 0 | Time: 15737.7s
Episode: 24100/3000000 | Reward: -4.63 | Epsilon: 0.99 | Deliveries: 0 | Time: 15799.9s
Episode: 24200/3000000 | Reward: -9.02 | Epsilon: 0.99 | Deliveries: 0 | Time: 15862.2s
Episode: 24300/3000000 | Reward: -5.62 | Epsilon: 0.99 | Deliveries: 0 | Time: 15923.9s
Episode: 24400/3000000 | Reward: -4.46 | Epsilon: 0.99 | Deliveries: 0 | Time: 15985.5s
Episode: 24500/3000000 | Reward: -5.39 | Epsilon: 0.99 | Deliveries: 0 | Time: 16048.5s
Episode: 24600/3000000 | Reward: -6.51 | Epsilon: 0.99 | Deliveries: 0 | Time: 16115.7s
Episode: 24700/3000000 | Reward: -6.62 | Epsilon: 0.99 | Deliveries: 0 | Time: 16180.2s
Episode: 24800/3000000 | Reward: -4.17 | Epsilon: 0.99 | Deliveries: 0 | Time: 16246.6s
Episode: 24900/3000000 | Reward: -9.21 | Epsilon: 0.99 | Deliveries: 0 | Time: 16311.7s
Episode: 25000/3000000 | Reward: -8.31 | Epsilon: 0.99 | Deliveries: 0 | Time: 16376.1s
Episode: 25100/3000000 | Reward: -7.11 | Epsilon: 0.99 | Deliveries: 0 | Time: 16447.7s
Episode: 25200/3000000 | Reward: -8.03 | Epsilon: 0.99 | Deliveries: 0 | Time: 16514.8s
Episode: 25300/3000000 | Reward: -4.71 | Epsilon: 0.99 | Deliveries: 0 | Time: 16578.3s
Episode: 25400/3000000 | Reward: -8.17 | Epsilon: 0.99 | Deliveries: 0 | Time: 16642.7s
