episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
1041,500,0.0,10.0,0.02,2.5,0.5,5.0,2.0
1042,500,0.0,11.5,0.023,0.5,1.5,5.5,4.0
1043,500,0.0,8.0,0.016,3.5,2.0,0.5,2.0
1044,500,0.0,17.5,0.035,2.0,5.0,3.5,7.0
1045,500,0.0,12.5,0.025,4.5,1.0,2.5,4.5
1046,500,0.0,9.5,0.019,1.0,6.0,0.5,2.0
1047,500,0.0,11.0,0.022,3.5,3.0,1.5,3.0
1048,500,0.0,7.5,0.015,1.0,4.0,1.0,1.5
1049,500,0.0,11.0,0.022,2.0,3.5,2.5,3.0
1050,500,0.0,10.5,0.021,4.5,0.5,3.0,2.5
1051,500,0.0,9.5,0.019,1.5,2.0,1.5,4.5
1052,500,0.0,8.0,0.016,1.0,2.5,1.5,3.0
1053,500,0.0,14.0,0.028,1.0,6.0,4.0,3.0
1054,500,0.0,14.5,0.029,3.0,1.5,6.0,4.0
1055,500,0.0,8.5,0.017,2.5,4.0,0.5,1.5
1056,500,0.0,16.5,0.033,3.0,0.5,7.0,6.0
1057,500,0.0,9.5,0.019,1.0,2.0,3.5,3.0
1058,500,0.0,8.0,0.016,4.0,2.0,0.5,1.5
1059,500,0.0,5.5,0.011,0.5,1.5,1.5,2.0
1060,500,0.0,6.0,0.012,1.0,1.0,3.0,1.0
1061,500,0.0,8.5,0.017,2.5,4.0,0.5,1.5
1062,500,0.0,11.5,0.023,4.0,0.5,3.0,4.0
1063,500,0.0,7.5,0.015,1.0,1.5,2.0,3.0
1064,500,0.0,12.0,0.024,1.0,6.0,1.5,3.5
1065,500,0.0,6.0,0.012,1.5,0.5,2.0,2.0
1066,500,0.0,11.5,0.023,3.0,2.5,3.5,2.5
1067,500,0.0,8.5,0.017,0.5,3.0,0.5,4.5
1068,500,0.0,10.0,0.02,0.5,3.5,2.0,4.0
1069,500,0.0,12.5,0.025,2.5,4.5,1.0,4.5
1070,500,0.0,13.5,0.027,6.5,1.5,4.5,1.0
1071,500,0.0,13.0,0.026,3.0,3.0,2.5,4.5
1072,500,0.0,15.0,0.03,2.5,9.0,1.5,2.0
1073,500,0.0,16.0,0.032,7.0,1.0,3.5,4.5
1074,500,0.0,8.0,0.016,3.0,0.5,1.0,3.5
1075,500,0.0,6.5,0.013,2.5,0.5,2.0,1.5
1076,500,0.0,15.0,0.03,1.0,1.5,5.5,7.0
1077,500,0.0,13.5,0.027,8.0,2.0,2.5,1.0
1078,500,0.0,9.5,0.019,0.5,1.0,2.0,6.0
1079,500,0.0,8.5,0.017,1.5,1.5,3.0,2.5
1080,500,0.0,12.5,0.025,4.5,7.0,0.5,0.5
1081,500,0.0,6.0,0.012,1.0,2.5,1.5,1.0
1082,500,0.0,9.0,0.018,1.0,5.5,2.0,0.5
1083,500,0.0,14.0,0.028,4.0,1.0,5.5,3.5
1084,500,0.0,8.0,0.016,3.0,1.0,1.0,3.0
1085,500,0.0,13.5,0.027,1.5,3.0,5.5,3.5
1086,500,0.0,14.5,0.029,3.5,2.5,3.0,5.5
1087,500,0.0,8.0,0.016,2.0,2.5,1.5,2.0
1088,500,0.0,4.5,0.009,1.0,1.0,0.5,2.0
