episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
355,500,0.0,-4.925,-0.00985,-1.93,-1.67,-0.685,-0.64
356,500,0.0,-2.465,-0.00493,-0.55,-0.515,-0.72,-0.68
357,500,0.0,-2.885,-0.00577,-0.55,-0.775,-0.96,-0.6
358,500,0.0,-2.38,-0.00476,-0.67,-0.625,-0.5,-0.585
359,500,0.0,-2.845,-0.00569,-0.715,-0.98,-0.59,-0.56
360,500,0.0,-3.6,-0.0072,-1.085,-0.475,-0.735,-1.305
361,500,0.0,-8.935,-0.01787,-4.055,-0.685,-2.41,-1.785
362,500,0.0,-3.505,-0.00701,-0.92,-0.745,-1.25,-0.59
363,500,0.0,-4.975,-0.00995,-0.545,-3.065,-0.79,-0.575
364,500,0.0,-1.67,-0.00334,-1.195,-1.58,-1.235,2.34
365,500,0.0,-3.985,-0.00797,-0.5,-1.74,-0.5,-1.245
366,500,0.0,-2.615,-0.00523,-0.59,-0.64,-0.72,-0.665
367,500,0.0,-5.04,-0.01008,-0.71,-1.975,-0.64,-1.715
368,500,0.0,-3.725,-0.00745,-1.125,-1.27,-0.67,-0.66
369,500,0.0,-2.395,-0.00479,-0.44,-0.705,-0.61,-0.64
370,500,0.0,-2.67,-0.00534,-0.67,-0.795,-0.73,-0.475
371,500,0.0,-4.515,-0.00903,-1.215,-1.865,-0.495,-0.94
372,500,0.0,-2.88,-0.00576,-0.71,-0.635,-0.7,-0.835
373,500,0.0,-2.905,-0.00581,-0.67,-0.735,-0.6,-0.9
374,500,0.0,-3.255,-0.00651,-1.25,-0.51,-0.6,-0.895
375,500,0.0,-3.005,-0.00601,-0.735,-1.09,-0.615,-0.565
376,500,0.0,-6.095,-0.01219,-1.795,-0.83,-1.72,-1.75
377,500,0.0,-3.72,-0.00744,-0.665,-0.97,-1.33,-0.755
378,500,0.0,-4.08,-0.00816,-0.75,-0.665,-2.05,-0.615
379,500,0.0,-5.525,-0.01105,-2.76,-1.47,-0.54,-0.755
380,500,0.0,-4.15,-0.0083,-0.575,-2.5,-0.545,-0.53
381,500,0.0,-3.945,-0.00789,1.91,-3.42,-0.61,-1.825
382,500,0.0,-2.58,-0.00516,-0.925,1.59,-1.02,-2.225
383,500,0.0,-2.465,-0.00493,-0.775,-0.58,-0.56,-0.55
384,500,0.0,-4.655,-0.00931,-0.605,-1.925,-1.545,-0.58
385,500,0.0,-4.95,-0.0099,-1.555,-0.515,-1.235,-1.645
386,500,0.0,-3.785,-0.00757,-0.75,-0.69,-0.755,-1.59
387,500,0.0,-2.925,-0.00585,-0.665,-0.625,-0.96,-0.675
388,500,0.0,-5.65,-0.0113,-2.22,-0.605,-2.27,-0.555
389,500,0.0,-6.075,-0.01215,-1.61,-1.335,-0.62,-2.51
390,500,0.0,-4.135,-0.00827,-0.825,-2.155,-0.57,-0.585
391,500,0.0,-3.12,-0.00624,-0.56,-0.735,-1.27,-0.555
392,500,0.0,-8.37,-0.01674,-0.595,-0.53,-3.93,-3.315
393,500,0.0,-2.96,-0.00592,-1.215,-0.535,-0.61,-0.6
394,500,0.0,-4.155,-0.00831,-1.57,-0.545,-0.57,-1.47
395,500,0.0,-2.825,-0.00565,-0.77,-0.72,-0.61,-0.725
396,500,0.0,-5.04,-0.01008,-0.62,-2.435,-0.575,-1.41
397,500,0.0,-6.835,-0.01367,-2.83,-0.67,-1.89,-1.445
398,500,0.0,-2.77,-0.00554,-0.65,-0.71,-0.715,-0.695
399,500,0.0,-5.23,-0.01046,-1.365,-1.54,-0.745,-1.58
400,500,0.0,-2.585,-0.00517,-0.635,-0.715,-0.575,-0.66
401,500,0.0,-4.4,-0.0088,-1.135,-0.58,-0.58,-2.105
402,500,0.0,-7.805,-0.01561,-3.69,-2.18,-0.625,-1.31
403,500,0.0,-3.265,-0.00653,-0.62,-0.67,-0.69,-1.285
404,500,0.0,-3.915,-0.00783,-1.09,-1.235,-0.89,-0.7
405,500,0.0,-0.77,-0.00154,-0.7,-0.935,1.7,-0.835
406,500,0.0,-3.715,-0.00743,-1.395,-0.57,-0.635,-1.115
407,500,0.0,-0.75,-0.0015,-0.535,1.18,-0.595,-0.8
408,500,0.0,-3.195,-0.00639,-0.8,-0.835,-0.88,-0.68
409,500,0.0,-3.775,-0.00755,-0.79,-1.86,-0.49,-0.635
410,500,0.0,-3.495,-0.00699,-1.535,-0.675,-0.585,-0.7
411,500,0.0,-3.13,-0.00626,-0.685,-0.98,-0.795,-0.67
412,500,0.0,-3.785,-0.00757,-0.635,-1.685,-0.84,-0.625
413,500,0.0,-3.305,-0.00661,-0.655,-1.055,-0.66,-0.935
414,500,0.0,-2.465,-0.00493,-0.585,-0.61,-0.635,-0.635
415,500,0.0,-2.715,-0.00543,-2.19,-0.63,-1.815,1.92
416,500,0.0,-6.13,-0.01226,-3.185,-1.06,-0.685,-1.2
