episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
538,500,0.0,3.45,0.0069,1.825,1.625
539,500,0.0,4.225,0.00845,2.325,1.9
540,500,0.0,2.155,0.00431,1.15,1.005
541,500,0.0,2.655,0.00531,1.325,1.33
542,500,0.0,1.025,0.00205,0.03,0.995
543,500,0.0,0.945,0.00189,1.415,-0.47
544,500,0.0,1.28,0.00256,0.83,0.45
545,500,0.0,3.275,0.00655,1.71,1.565
546,500,0.0,5.845,0.01169,1.06,4.785
547,500,0.0,2.365,0.00473,1.405,0.96
548,500,0.0,2.2,0.0044,1.285,0.915
549,500,0.0,3.105,0.00621,1.755,1.35
550,500,0.0,0.475,0.00095,-0.46,0.935
551,500,0.0,1.435,0.00287,0.565,0.87
552,500,0.0,1.625,0.00325,0.9,0.725
553,500,0.0,1.8,0.0036,1.765,0.035
554,500,0.0,2.845,0.00569,1.555,1.29
555,500,0.0,0.33,0.00066,-0.825,1.155
556,500,0.0,1.545,0.00309,0.575,0.97
557,500,0.0,6.28,0.01256,1.5,4.78
558,500,0.0,3.415,0.00683,1.965,1.45
559,500,0.0,7.795,0.01559,6.015,1.78
560,500,0.0,1.605,0.00321,1.015,0.59
561,500,0.0,-0.43,-0.00086,0.07,-0.5
562,500,0.0,2.3,0.0046,1.675,0.625
563,500,0.0,1.125,0.00225,1.7,-0.575
564,500,0.0,2.62,0.00524,1.725,0.895
565,500,0.0,-0.535,-0.00107,-1.245,0.71
566,500,0.0,1.19,0.00238,0.785,0.405
567,500,0.0,1.485,0.00297,0.64,0.845
568,500,0.0,0.43,0.00086,-0.67,1.1
569,500,0.0,5.76,0.01152,5.485,0.275
570,500,0.0,4.515,0.00903,5.04,-0.525
571,500,0.0,1.54,0.00308,1.155,0.385
572,500,0.0,2.155,0.00431,1.085,1.07
573,500,0.0,1.725,0.00345,0.375,1.35
574,500,0.0,2.305,0.00461,1.375,0.93
575,500,0.0,1.46,0.00292,0.11,1.35
576,500,0.0,3.275,0.00655,1.75,1.525
577,500,0.0,3.445,0.00689,1.345,2.1
578,500,0.0,3.2,0.0064,1.4,1.8
579,500,0.0,1.225,0.00245,0.95,0.275
580,500,0.0,-0.4,-0.0008,-0.56,0.16
581,500,0.0,2.175,0.00435,0.605,1.57
582,500,0.0,3.16,0.00632,1.625,1.535
583,500,0.0,1.17,0.00234,0.705,0.465
584,500,0.0,7.48,0.01496,5.78,1.7
585,500,0.0,2.64,0.00528,1.29,1.35
586,500,0.0,-1.21,-0.00242,-2.35,1.14
587,500,0.0,3.375,0.00675,1.85,1.525
588,500,0.0,2.855,0.00571,1.85,1.005
589,500,0.0,1.945,0.00389,1.605,0.34
590,500,0.0,2.53,0.00506,1.305,1.225
591,500,0.0,5.675,0.01135,1.48,4.195
592,500,0.0,2.105,0.00421,1.565,0.54
593,500,0.0,2.08,0.00416,0.995,1.085
594,500,0.0,3.785,0.00757,2.175,1.61
595,500,0.0,1.99,0.00398,0.635,1.355
